"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption City (L/100 km)","Fuel Consumption Hwy (L/100 km)","Fuel Consumption Comb (L/100 km)","Fuel Consumption Comb (mpg)","CO2 Emissions(g/km)","Date"
"ACURA","ILX","COMPACT","2","4","AS5","Z","9.9","6.7","8.5","33","196","4/12/2012"
"ACURA","ILX","COMPACT","2.4","4","M6","Z","11.2","7.7","9.6","29","221","7/24/2018"
"ACURA","ILX HYBRID","COMPACT","1.5","4","AV7","Z","6","5.8","5.9","48","136","3/9/2014"
"ACURA","MDX 4WD","SUV - SMALL","3.5","6","AS6","Z","12.7","9.1","11.1","25","255","7/27/2015"
"ACURA","RDX AWD","SUV - SMALL","3.5","6","AS6","Z","12.1","8.7","10.6","27","244","4/5/2016"
"ACURA","RLX","MID-SIZE","3.5","6","AS6","Z","11.9","7.7","10","28","230","9/1/2012"
"ACURA","TL","MID-SIZE","3.5","6","AS6","Z","11.8","8.1","10.1","28","232","7/20/2015"
"ACURA","TL AWD","MID-SIZE","3.7","6","AS6","Z","12.8","9","11.1","25","255","11/11/2013"
"ACURA","TL AWD","MID-SIZE","3.7","6","M6","Z","13.4","9.5","11.6","24","267","9/9/2011"
"ACURA","TSX","COMPACT","2.4","4","AS5","Z","10.6","7.5","9.2","31","212","9/9/2019"
"ACURA","TSX","COMPACT","2.4","4","M6","Z","11.2","8.1","9.8","29","225","12/28/2014"
"ACURA","TSX","COMPACT","3.5","6","AS5","Z","12.1","8.3","10.4","27","239","4/1/2017"
"ALFA ROMEO","4C","TWO-SEATER","1.8","4","AM6","Z","9.7","6.9","8.4","34","193","1/6/2019"
"ASTON MARTIN","DB9","MINICOMPACT","5.9","12","A6","Z","18","12.6","15.6","18","359","11/5/2018"
"ASTON MARTIN","RAPIDE","SUBCOMPACT","5.9","12","A6","Z","18","12.6","15.6","18","359","9/2/2020"
"ASTON MARTIN","V8 VANTAGE","TWO-SEATER","4.7","8","AM7","Z","17.4","11.3","14.7","19","338","3/5/2016"
"ASTON MARTIN","V8 VANTAGE","TWO-SEATER","4.7","8","M6","Z","18.1","12.2","15.4","18","354","4/20/2013"
"ASTON MARTIN","V8 VANTAGE S","TWO-SEATER","4.7","8","AM7","Z","17.4","11.3","14.7","19","338","10/2/2018"
"ASTON MARTIN","V8 VANTAGE S","TWO-SEATER","4.7","8","M6","Z","18.1","12.2","15.4","18","354","7/1/2014"
"ASTON MARTIN","VANQUISH","MINICOMPACT","5.9","12","A6","Z","18","12.6","15.6","18","359","9/21/2012"
"AUDI","A4","COMPACT","2","4","AV8","Z","9.9","7.4","8.8","32","202","11/18/2015"
"AUDI","A4 QUATTRO","COMPACT","2","4","AS8","Z","11.5","8.1","10","28","230","12/17/2018"
"AUDI","A4 QUATTRO","COMPACT","2","4","M6","Z","10.8","7.5","9.3","30","214","3/16/2018"
"AUDI","A5 CABRIOLET QUATTRO","SUBCOMPACT","2","4","AS8","Z","11.5","8.1","10","28","230","12/15/2017"
"AUDI","A5 QUATTRO","SUBCOMPACT","2","4","AS8","Z","11.5","8.1","10","28","230","11/29/2017"
